General Manager,0.05,0.38,0.47,0.33,0.44,0.39,0.5,0.58
Office Manager,0.12,0.43,0.31,0.44,0.38,0.36,0.31,0.56
Production Manager,0.17,0.21,0.91,0.76,0.57,0.74,0.87,0.61
Farm Manager,0.25,0.19,0.94,0.75,0.34,0.37,0.35,0.45
Academic Administrator,0.06,0.79,0.46,0.51,0.79,0.51,0.72,0.28
Hotel Manager,0.28,0.64,0.23,0.31,0.55,0.58,0.55,0.22
Property Manager,0.39,0.71,0.12,0.53,0.5,0.34,0.34,0.04
Purchasing Agent,0.47,0.68,0.47,0.55,0.41,0.71,0.59,0.6
Claims Adjuster,0.83,0.78,0.78,0.57,0.54,0.61,0.45,0.59
Cost Estimator,0.85,0.13,0.76,0.95,0.66,0.92,0.73,0.78
Human Resources Specialist,0.01,0.85,0.48,0.65,0.06,0.18,0.08,0.37
Logistics Manager,0.42,0.41,0.3,0.19,0.52,0.84,0.75,0.83
Management Analyst,0.2,0.53,0.34,0.28,0.71,0.55,0.66,0.79
Event Planner,0.22,0.9,0.37,0.09,0.47,0.4,0.32,0.16
Market Analyst,0.29,0.7,0.59,0.35,0.82,0.8,0.74,0.5
Other Business,0.79,0.72,0.34,0.3,0.33,0.68,0.29,0.47
Accountant/Auditor,0.46,0.78,0.49,0.62,0.64,0.87,0.65,0.67
Financial Analyst,0.04,0.47,0.28,0.21,0.62,0.81,0.71,0.74
Personal Financial Advisor,0.03,0.42,0.43,0.66,0.66,0.82,0.52,0.35
Loan Officer,0.33,0.69,0.83,0.85,0.6,0.7,0.51,0.71
Research Assistant,0.09,0.4,0.03,0.03,0.85,0.88,0.95,0.3
Computer Systems Analyst,0.62,0.48,0.35,0.29,0.81,0.77,0.92,0.94
Information Security Analyst,0.65,0.3,0.13,0.26,0.45,0.34,0.61,0.98
Computer Programmer,0.97,0.31,0.62,0.41,0.35,0.65,0.43,0.91
Software Applications Developer,0.74,0.26,0.07,0.28,0.65,0.91,0.88,0.97
Software System Developer,0.14,0.26,0.07,0.13,0.53,0.61,0.62,0.81
Web Developer,0.76,0.47,0.27,0.05,0.27,0.48,0.6,0.48
Network Administrator,0.35,0.24,0.4,0.36,0.63,0.64,0.82,0.84
Network Engineer,0.32,0.07,0.21,0.45,0.61,0.69,0.79,0.96
IT Specialist,0.15,0.35,0.39,0.47,0.37,0.29,0.28,0.72
Actuary,0.56,0.46,0.87,0.18,0.89,1,0.97,0.84
Operations Analyst,0.44,0.58,0.04,0.24,0.76,0.98,0.89,0.78
Landscape Architect,0.85,0.36,0.24,0.72,0.45,0.53,0.57,0.49
Surveyor,0.93,0.29,0.25,0.68,0.68,0.93,0.61,0.72
Aerospace Engineer,0.45,0.09,0.02,0.12,0.94,0.95,0.9,0.89
Agricultural Engineer,0.65,0.17,0.95,0.6,0.77,0.87,0.85,0.88
Biomedical Engineer,0.78,0.17,0.95,0.27,0.99,0.94,1,0.91
Chemical Engineer,0.7,0.12,0.67,0.43,0.91,0.97,0.98,1
Civil Engineer,0.79,0.14,0.18,0.59,0.86,0.97,0.94,0.8
Computer Engineer,0.08,0.15,0.11,0.11,0.58,0.45,0.76,0.99
Electrical Engineer,0.56,0.06,0.26,0.64,0.74,0.83,0.54,0.95
Environmental Engineer,0.26,0.25,0.14,0.63,0.97,0.96,0.97,0.76
Industrial Engineer,0.35,0.2,0.91,0.71,0.69,0.63,0.68,0.9
Materials Engineer,0.07,0.08,0.97,0.59,0.67,0.79,0.78,0.93
Mechanical Engineer,0.47,0.03,1,0.7,0.93,0.99,0.99,0.92
Nuclear Engineer,0.8,0.09,0.16,0.22,0.92,0.86,0.87,0.97
Other Engineer,0.6,0.09,0.16,0.42,0.9,0.92,0.92,0.87
Drafter,0.86,0.16,0.59,0.53,0.31,0.67,0.36,0.55
Engineering Technician,0.84,0.23,0.45,0.67,0.36,0.66,0.39,0.74
Agricultural Scientist,0.52,0.28,0.98,0.78,0.83,0.75,0.81,0.39
Food Scientist,0.9,0.28,0.98,0.77,0.7,0.76,0.8,0.62
Biological Scientist,0.54,0.56,0.16,0.23,0.98,0.82,0.93,0.19
Physical Scientist,0.24,0.32,0.05,0.4,0.96,0.9,0.86,0.86
Chemist,0.61,0.5,0.74,0.58,0.87,0.85,0.7,0.66
Environmental Scientist,0.67,0.37,0.03,0.8,1,0.89,0.96,0.27
Social Scientist,0.21,0.65,0.01,0.06,0.95,0.56,0.84,0.21
Food Science Technician,0.87,0.55,0.97,0.69,0.23,0.49,0.26,0.21
Counselor,0.55,0.83,0.28,0.47,0.82,0.19,0.67,0.06
Academic Advisor,0.69,0.83,0.28,0.22,0.87,0.29,0.64,0.31
Social Worker,0.26,0.92,0.69,0.61,0.78,0.24,0.58,0.07
Legal Associate,0.09,0.91,0.2,0.37,0.29,0.11,0.13,0.64
Preschool Teacher,0.43,1,0.32,0.99,0.15,0.1,0.19,0.11
Elementary School Teacher,0.53,0.91,0.51,0.97,0.5,0.33,0.5,0.25
Secondary School Teacher,0.76,0.74,0.65,0.91,0.55,0.42,0.47,0.29
Special Education Teacher,0.63,0.95,0.82,0.87,0.51,0.38,0.42,0.24
Teacher Assistant,0.95,0.97,0.64,1,0.12,0.16,0.06,0.01
Commercial Designer,0.91,0.59,0.55,0.14,0.72,0.72,0.83,0.53
Graphic Designer,0.7,0.59,0.55,0.48,0.17,0.27,0.24,0.46
Interior Designer,0.49,0.59,0.55,0.41,0.39,0.5,0.33,0.32
Merchandise Displayer,0.31,0.59,0.55,0.86,0.08,0.06,0.08,0.59
Actor/Artist/Musician,0.59,0.53,0,0.03,0.59,0.21,0.41,0.16
Reporter,0.87,0.57,0.41,0.38,0.88,0.04,0.56,0.02
Public Relations Specialist,0.38,0.8,0.19,0.34,0.61,0.23,0.53,0.26
Writer/Editor,0.19,0.66,0.22,0.25,0.84,0.07,0.44,0.42
Audio/Video Technician,0.81,0.11,0.06,0.1,0.18,0.12,0.23,0.13
Healthcare Practitioner,0.18,0.81,0.71,0.46,0.8,0.46,0.77,0.14
Dietitian/Nutritionist,0.35,0.98,0.54,0.81,0.92,0.62,0.82,0.34
Registered Nurse,0.34,0.97,0.84,0.83,0.71,0.47,0.69,0.66
Medical Technician,0.75,0.89,0.84,0.78,0.25,0.35,0.25,0.09
Laboratory Technician,0.92,0.87,0.72,0.5,0.46,0.5,0.34,0.52
Safety Specialist,0.43,0.52,0.44,0.2,0.76,0.44,0.71,0.69
Healthcare Assistant,0.91,0.94,0.85,0.73,0.16,0.14,0.13,0.05
Veterinary Assistant,0.95,0.93,0.86,0.16,0.07,0.31,0.05,0.15
Law Enforcement,0.64,0.39,0.22,0.34,0.21,0.17,0.29,0.28
Restaurant Manager,0.74,0.75,0.78,0.15,0.18,0.43,0.27,0.36
Restaurant Worker,0.99,0.88,0.61,0.01,0.01,0.03,0.03,0.09
Groundskeeper/Janitor,0.97,0.04,0.7,0.08,0.02,0.03,0.02,0.12
Animal Trainer,0.03,0.54,0.09,0.09,0.09,0.15,0.2,0
Recreation Manager,1,0.51,0.5,0,0.03,0.05,0.01,0.08
Personal Care Workers,0.51,0.86,0.53,0.04,0.13,0.09,0.17,0.03
Fitness Trainer/Coach,0.16,0.77,0.41,0.02,0.13,0.01,0.11,0.1
Sales Manager,0.4,0.59,0.66,0.82,0.26,0.59,0.37,0.54
Retail Salesperson,0.7,0.66,0.42,0.16,0.14,0.28,0.12,0.53
Sales Agent,0.29,0.63,0.53,0.52,0.48,0.55,0.38,0.41
Financial Services Sales Agent,0.23,0.41,0.33,0.39,0.75,0.73,0.76,0.44
Sales Representative,0.38,0.44,0.52,0.54,0.49,0.54,0.48,0.38
Technical Products Sales Representative,0.11,0.34,0.8,0.56,0.73,0.52,0.49,0.67
Wholesale Sales Representative,0.26,0.34,0.8,0.89,0.34,0.08,0.3,0.51
Real Estate Sales Agent,0.02,0.73,0.09,0.92,0.42,0.6,0.46,0.34
Sales Analyst,0.49,0.05,0.9,0.74,0.97,0.78,0.91,0.82
Account Collector,0.56,0.84,0.63,0.32,0.4,0.45,0.21,0.43
Bookkeeping Clerk,0.31,0.96,0.6,0.94,0.24,0.71,0.18,0.33
Financial Clerk,0.09,0.72,0.36,0.88,0.3,0.26,0.39,0.63
Information Clerk,0.68,0.76,0.88,0.49,0.24,0.25,0.16,0.23
Customer Service Representative,0.73,0.82,0.66,0.17,0.28,0.3,0.22,0.2
Production Clerk,0.4,0.67,0.79,0.84,0.19,0.32,0.15,0.41
Stock/Shipping Clerk,0.82,0.45,0.77,0.07,0.03,0.08,0.03,0.7
Secretary/Administrative Assistant,0.56,0.99,0.72,0.91,0.32,0.13,0.14,0.18
Agricultural Worker,0.15,0.16,0.15,0.98,0.29,0.57,0.4,0.17
Construction Manager,0.21,0,0.38,0.93,0.2,0.41,0.24,0.77
Mechanics/Installers Supervisor,0.13,0.02,0.73,0.97,0.56,0.66,0.66,0.4
Mechanic/Installer,0.68,0.03,0.68,0.66,0.1,0.22,0.18,0.85
Production Worker,0.94,0.33,0.92,0.79,0.04,0.18,0.04,0.57
Production Manager,0.49,0.22,0.93,0.96,0.39,0.39,0.45,0.73
Production Inspector,0.98,0.49,0.89,0.84,0.11,0.2,0.07,0.65
Transportation Worker,0.89,0.22,0.75,0.72,0.05,0.13,0.1,0.47
Commercial Pilot,0.62,0.01,0.1,0.9,0.22,0.24,0.63,0.03
